date,headline,headline_band,dominant_pillar,market,fiscal,labour,delivery
2024-12-17,37.50,acute,market,22.20,50.00,52.60,11.10
2024-12-18,36.90,acute,market,20.50,50.00,52.60,11.10
2024-12-19,35.30,acute,market,15.30,50.00,52.60,11.10
2024-12-20,35.50,acute,market,16.00,50.00,52.60,11.10
2024-12-21,35.50,acute,market,16.00,50.00,52.60,11.10
2024-12-22,35.50,acute,market,16.00,50.00,52.60,11.10
2024-12-23,35.70,acute,market,16.70,50.00,52.60,11.10
2024-12-24,35.70,acute,market,16.70,50.00,52.60,11.10
2024-12-25,35.70,acute,market,16.70,50.00,52.60,11.10
2024-12-26,35.70,acute,market,16.70,50.00,52.60,11.10
2024-12-27,35.80,acute,market,16.80,50.00,52.60,11.10
2024-12-28,35.80,acute,market,16.80,50.00,52.60,11.10
2024-12-29,35.80,acute,market,16.80,50.00,52.60,11.10
2024-12-30,34.90,acute,market,14.00,50.00,52.60,11.10
2024-12-31,35.80,acute,market,18.90,50.00,47.60,20.00
2025-01-01,36.10,acute,market,18.90,50.00,48.60,20.00
2025-01-02,35.10,acute,market,15.80,50.00,48.60,20.00
2025-01-03,34.90,acute,market,15.30,50.00,48.60,20.00
2025-01-04,34.90,acute,market,15.30,50.00,48.60,20.00
2025-01-05,34.90,acute,market,15.30,50.00,48.60,20.00
2025-01-06,35.00,acute,market,15.60,50.00,48.60,20.00
2025-01-07,34.10,acute,market,12.50,50.00,48.60,20.00
2025-01-08,33.50,acute,market,10.40,50.00,48.60,20.00
2025-01-09,33.20,acute,market,9.60,50.00,48.60,20.00
2025-01-10,33.00,acute,market,9.00,50.00,48.60,20.00
2025-01-11,33.00,acute,market,9.00,50.00,48.60,20.00
2025-01-12,33.00,acute,market,9.00,50.00,48.60,20.00
2025-01-13,32.80,acute,market,8.20,50.00,48.60,20.00
2025-01-14,32.70,acute,market,8.00,50.00,48.60,20.00
2025-01-15,34.00,acute,market,12.20,50.00,48.60,20.00
2025-01-16,35.10,acute,market,15.80,50.00,48.60,20.00
2025-01-17,35.10,acute,market,15.80,50.00,48.60,20.00
2025-01-18,35.10,acute,market,15.80,50.00,48.60,20.00
2025-01-19,35.10,acute,market,15.80,50.00,48.60,20.00
2025-01-20,34.90,acute,market,15.20,50.00,48.60,20.00
2025-01-21,36.60,acute,market,18.00,50.00,51.70,20.00
2025-01-22,36.80,acute,market,18.70,50.00,51.70,20.00
2025-01-23,36.80,acute,market,18.70,50.00,51.70,20.00
2025-01-24,37.00,acute,market,19.40,50.00,51.70,20.00
2025-01-25,37.00,acute,market,19.40,50.00,51.70,20.00
2025-01-26,37.00,acute,market,19.40,50.00,51.70,20.00
2025-01-27,37.50,acute,market,21.00,50.00,51.70,20.00
2025-01-28,37.80,acute,market,21.80,50.00,51.70,20.00
2025-01-29,38.10,acute,market,22.90,50.00,51.70,20.00
2025-01-30,39.80,acute,market,28.00,50.00,51.70,20.00
2025-01-31,39.10,acute,market,26.80,50.00,50.60,20.00
2025-02-01,38.50,acute,market,26.80,50.00,48.20,20.00
2025-02-02,38.50,acute,market,26.80,50.00,48.20,20.00
2025-02-03,38.50,acute,market,26.70,50.00,48.20,20.00
2025-02-04,38.00,acute,market,25.10,50.00,48.20,20.00
2025-02-05,39.80,acute,market,30.50,50.00,48.20,20.00
2025-02-06,39.90,acute,market,30.70,50.00,48.20,20.00
2025-02-07,38.70,acute,market,27.30,50.00,48.20,20.00
2025-02-08,38.70,acute,market,27.30,50.00,48.20,20.00
2025-02-09,38.70,acute,market,27.30,50.00,48.20,20.00
2025-02-10,39.50,acute,market,29.60,50.00,48.20,20.00
2025-02-11,38.30,acute,market,26.00,50.00,48.20,20.00
2025-02-12,37.90,acute,market,25.00,50.00,48.20,20.00
2025-02-13,39.30,acute,market,29.20,50.00,48.20,20.00
2025-02-14,39.50,acute,market,29.70,50.00,48.20,20.00
2025-02-15,39.50,acute,market,29.70,50.00,48.20,20.00
2025-02-16,39.50,acute,market,29.70,50.00,48.20,20.00
2025-02-17,39.20,acute,market,28.90,50.00,48.20,20.00
2025-02-18,39.50,acute,market,26.80,50.00,52.00,20.00
2025-02-19,38.00,acute,market,22.30,50.00,52.00,20.00
2025-02-20,37.70,acute,market,21.40,50.00,52.00,20.00
2025-02-21,38.90,acute,market,25.00,50.00,52.00,20.00
2025-02-22,38.90,acute,market,25.00,50.00,52.00,20.00
2025-02-23,38.90,acute,market,25.00,50.00,52.00,20.00
2025-02-24,38.60,acute,market,24.10,50.00,52.00,20.00
2025-02-25,40.10,strained,market,28.60,50.00,52.00,20.00
2025-02-26,40.80,strained,market,30.90,50.00,52.00,20.00
2025-02-27,39.40,acute,market,26.70,50.00,52.00,20.00
